Target_Return,Volatility
0.19515630156387212,0.21630846990794642
0.19783349901399344,0.21635109961702823
0.20051069646411476,0.216481327867144
0.20318789391423608,0.21669826711532209
0.2058650913643574,0.21699700472360559
0.2085422888144787,0.21734405401215942
0.21121948626460002,0.21773368066372828
0.21389668371472134,0.21816546370543102
0.21657388116484266,0.2186399069535964
0.21925107861496398,0.21915677313311535
0.2219282760650853,0.2197141504451948
0.22460547351520663,0.22031359166277228
0.22728267096532795,0.22095343583826776
0.22995986841544924,0.22163406009651337
0.2326370658655706,0.22235465073870497
0.23531426331569189,0.22310141170591685
0.2379914607658132,0.22386853930527778
0.24066865821593453,0.2246573122187047
0.24334585566605585,0.22546594652008325
0.24602305311617717,0.22629590514995115
0.2487002505662985,0.22714614929484886
0.2513774480164198,0.2280164528640524
0.2540546454665411,0.22890658799448999
0.25673184291666246,0.22981632522321993
0.25940904036678375,0.23074469314673918
0.2620862378169051,0.2316928538671022
0.2647634352670264,0.23265991492492683
0.2674406327171477,0.2336456427243156
0.27011783016726904,0.23464980316014736
0.2727950276173904,0.23567216172093125
0.2754722250675117,0.23671180704043898
0.27814942251763297,0.2377697668275968
0.2808266199677543,0.23884521145455237
0.2835038174178756,0.23993818500900657
0.28618101486799696,0.2410495659661281
0.28885821231811826,0.24217799556575467
0.29153540976823955,0.2433237006522332
0.2942126072183609,0.24448892926304264
0.29688980466848225,0.2456688080826851
0.29956700211860354,0.24686541728582095
0.30224419956872484,0.24807744896092596
0.3049213970188462,0.2493052351713809
0.3075985944689675,0.25055032804666305
0.31027579191908883,0.2518111093634506
0.3129529893692101,0.25308746138655613
0.3156301868193314,0.25437923626271647
0.31830738426945276,0.25568649996470194
0.3209845817195741,0.25700840938461417
0.3236617791696954,0.2583439656748011
0.3263389766198167,0.25969742033507587
0.32901617406993805,0.2610667109222766
0.33169337152005934,0.2624519101488234
0.3343705689701807,0.26385195098288744
0.337047766420302,0.26526717498646396
0.3397249638704233,0.26669734902443176
0.34240216132054463,0.2681422013430561
0.345079358770666,0.26960064936733447
0.34775655622078727,0.2710738729329339
0.35043375367090857,0.27256307970683574
0.3531109511210299,0.27406878612472396
0.3557881485711512,0.27559077818322
0.35846534602127256,0.27712966354855373
0.36114254347139385,0.2786847104470423
0.36381974092151514,0.280255646641808
0.3664969383716365,0.2818422047265396
0.36917413582175784,0.28344322643743086
0.37185133327187914,0.28505928370306827
0.37452853072200043,0.286690790076902
0.3772057281721218,0.2883368709493142
0.3798829256222431,0.2899965227467034
0.3825601230723644,0.2916708866047154
0.3852373205224857,0.29335906229495057
0.387914517972607,0.2950607550995313
0.39059171542272836,0.2967756988847738
0.3932689128728497,0.2985038121301917
0.395946110322971,0.3002448973201878
0.3986233077730923,0.30199863375039826
0.40130050522321364,0.30376531283932867
0.40397770267333494,0.3055435406434037
0.4066549001234563,0.3073338584881219
0.4093320975735776,0.3091366114826721
0.4120092950236989,0.31095018049154893
0.4146864924738202,0.3127753639603497
0.41736368992394157,0.31461181493484
0.42004088737406287,0.31645941169343184
0.42271808482418416,0.31831804476839665
0.4253952822743055,0.3201873145391549
0.4280724797244268,0.32206633915670324
0.43074967717454815,0.3239572510042075
0.43342687462466944,0.32585930484251147
0.43610407207479074,0.3277724224847138
0.4387812695249121,0.3296965932902246
0.44145846697503344,0.331631473279664
0.44413566442515473,0.33357689143952607
0.446812861875276,0.33553266760588535
0.4494900593253973,0.33749860227252004
0.4521672567755187,0.3394744881984315
0.45484445422564,0.3414601239560682
0.4575216516757613,0.3434553881283685
0.46019884912588266,0.34546054094532935
