Ticker,Equal_Weight,Max_Sharpe_Weight,Min_Vol_Weight
AAPL,0.1,0.20881777122919604,0.052869471395496075
AMZN,0.1,6.516055056637882e-17,0.11149761724860303
GOOGL,0.1,0.0,0.09559624035820527
HD,0.1,5.1011712215442984e-17,0.2599499209645421
JPM,0.1,0.04151402183853252,0.18986382875757077
META,0.1,0.0,6.240938755369685e-18
MSFT,0.1,2.4882439858542327e-17,0.004173842299002353
NVDA,0.1,0.37704325225460067,4.3503612170980865e-18
TSLA,0.1,0.2053288249146329,6.29514886399396e-18
UNH,0.1,0.1672961297630378,0.28604907897658044
